d_0011,infusion drotrecogin alfa activated
d_1108,dermatophytosis specified sites
d_1119,dermatomycosis unspecified
d_1120,candidiasis mouth
d_1121,candidiasis vulva vagina
d_1122,candidiasis urogenital sites
d_1123,candidiasis skin nails
d_1124,candidiasis lung
d_1125,disseminated candidiasis
d_11284,candidal esophagitis
d_11289,candidiasis specified sites
d_1129,candidiasis unspecified site
d_11599,histoplasmosis unspecified
d_1173,aspergillosis
d_1175,cryptococcosis
d_1177,zygomycosis phycomycosis mucormycosis
d_1179,unspecified mycoses
d_1231,cysticercosis
d_1272,strongyloidiasis
d_1307,toxoplasmosis specified sites
d_1330,scabies
d_135,sarcoidosis
d_1363,pneumocystosis
d_1369,unspecified infectious parasitic diseases
d_138,late effects acute poliomyelitis
d_1398,late effects unspecified infectious parasitic
d_1410,malignant neoplasm base tongue
d_1424,destruction chorioretinal lesion laser photocoagulation
d_1474,mechanical vitrectomy
d_1478,malignant neoplasm specified sites nasopharynx
d_1479,malignant neoplasm nasopharynx unspecified site
d_1481,malignant neoplasm pyriform sinus
d_1490,malignant neoplasm pharynx unspecified
d_1503,malignant neoplasm upper third esophagus
d_1504,malignant neoplasm middle third esophagus
d_1505,malignant neoplasm lower third esophagus
d_1508,malignant neoplasm specified part esophagus
d_1509,malignant neoplasm esophagus unspecified site
d_1510,malignant neoplasm cardia
d_1514,malignant neoplasm body stomach
d_1518,malignant neoplasm specified sites stomach
d_1519,malignant neoplasm stomach unspecified site
d_1520,malignant neoplasm duodenum
d_1530,malignant neoplasm hepatic flexure
d_1532,malignant neoplasm descending colon
d_1533,malignant neoplasm sigmoid colon
d_1534,malignant neoplasm cecum
d_1536,malignant neoplasm ascending colon
d_1537,malignant neoplasm splenic flexure
d_1538,malignant neoplasm specified sites large intestine
d_1540,malignant neoplasm rectosigmoid junction
d_1541,malignant neoplasm rectum
d_1548,malignant neoplasm sites rectum rectosigmoid juncti
d_1550,malignant neoplasm liver primary
d_1551,malignant neoplasm intrahepatic bile ducts
d_1552,malignant neoplasm liver specified primary seconda
d_1560,malignant neoplasm gallbladder
d_1561,malignant neoplasm extrahepatic bile ducts
d_1562,malignant neoplasm ampulla vater
d_1570,malignant neoplasm head pancreas
d_1578,malignant neoplasm specified sites pancreas
d_1579,malignant neoplasm pancreas part unspecified
d_1580,malignant neoplasm retroperitoneum
d_1588,malignant neoplasm specified parts peritoneum
d_1589,malignant neoplasm peritoneum unspecified
d_1611,malignant neoplasm supraglottis
d_1618,malignant neoplasm specified sites larynx
d_1619,malignant neoplasm larynx unspecified
d_1622,malignant neoplasm main bronchus
d_1623,malignant neoplasm upper lobe bronchus lung
d_1624,malignant neoplasm middle lobe bronchus lung
d_1625,malignant neoplasm lower lobe bronchus lung
d_1628,malignant neoplasm parts bronchus lung
d_1629,malignant neoplasm bronchus lung unspecified
d_1640,malignant neoplasm thymus
d_1707,malignant neoplasm long bones lower limb
d_1713,malignant neoplasm connective soft tissue lower
d_1714,malignant neoplasm connective soft tissue thorax
d_1715,malignant neoplasm connective soft tissue abdome
d_1733,laparoscopic right hemicolectomy
d_1736,laparoscopic sigmoidectomy
d_1748,malignant neoplasm specified sites female breast
d_1749,malignant neoplasm breast female unspecified
d_1755,transluminal coronary atherectomy
d_1809,malignant neoplasm cervix uteri unspecified site
d_1820,malignant neoplasm corpus uteri except isthmus
d_1830,malignant neoplasm ovary
d_184,suture laceration external ear
d_185,malignant neoplasm prostate
d_1888,malignant neoplasm specified sites bladder
d_1889,malignant neoplasm bladder part unspecified
d_1890,malignant neoplasm kidney except pelvis
d_1891,malignant neoplasm renal pelvis
d_1892,malignant neoplasm ureter
d_1910,malignant neoplasm cerebrum except lobes ventricles
d_1911,malignant neoplasm frontal lobe
d_1912,malignant neoplasm temporal lobe
d_1913,malignant neoplasm parietal lobe
d_1914,malignant neoplasm occipital lobe
d_1915,malignant neoplasm ventricles
d_1918,malignant neoplasm parts brain
d_1919,malignant neoplasm brain unspecified
d_1921,malignant neoplasm cerebral meninges
d_193,malignant neoplasm thyroid gland
d_1961,secondary unspecified malignant neoplasm intrathoracic ly
d_1962,secondary unspecified malignant neoplasm intra-abdominal
d_1965,secondary unspecified malignant neoplasm lymph nodes i
d_1966,secondary unspecified malignant neoplasm intrapelvic lymp
d_1968,secondary unspecified malignant neoplasm lymph nodes
d_1969,secondary unspecified malignant neoplasm lymph nodes sit
d_1970,secondary malignant neoplasm lung
d_1971,secondary malignant neoplasm mediastinum
d_1972,secondary malignant neoplasm pleura
d_1973,secondary malignant neoplasm respiratory organs
d_1974,secondary malignant neoplasm small intestine including duoden
d_1975,secondary malignant neoplasm large intestine rectum
d_1976,secondary malignant neoplasm retroperitoneum peritoneum
d_1977,malignant neoplasm liver secondary
d_1978,secondary malignant neoplasm digestive organs splee
d_1980,secondary malignant neoplasm kidney
d_1981,secondary malignant neoplasm urinary organs
d_1982,secondary malignant neoplasm skin
d_1983,secondary malignant neoplasm brain spinal cord
d_1984,secondary malignant neoplasm parts nervous system
d_1985,secondary malignant neoplasm bone bone marrow
d_1986,secondary malignant neoplasm ovary
d_1987,secondary malignant neoplasm adrenal gland
d_19881,secondary malignant neoplasm breast
d_19882,secondary malignant neoplasm genital organs
d_19889,secondary malignant neoplasm specified sites
d_1991,malignant neoplasm specification site
d_20000,reticulosarcoma unspecified site extranodal solid organ si
d_20020,burkitts tumor lymphoma unspecified site extranodal so
d_20028,burkitts tumor lymphoma lymph nodes multiple sites
d_20030,marginal zone lymphoma unspecified site extranodal solid
d_20050,primary central nervous system lymphoma unspecified site extra
d_20070,large cell lymphoma unspecified site extranodal solid orga
d_20080,named variants lymphosarcoma reticulosarcoma unspe
d_20190,hodgkins disease unspecified type unspecified site extranoda
d_20200,nodular lymphoma unspecified site extranodal solid organ
d_20210,mycosis fungoides unspecified site extranodal solid organ
d_20280,malignant lymphomas unspecified site extranodal soli
d_20281,malignant lymphomas lymph nodes head face neck
d_20282,malignant lymphomas intrathoracic lymph nodes
d_20283,malignant lymphomas intra-abdominal lymph nodes
d_20288,malignant lymphomas lymph nodes multiple sites
d_20300,multiple myeloma mention having achieved remission
d_20301,multiple myeloma remission
d_20401,acute lymphoid leukemia remission
d_20410,chronic lymphoid leukemia mention having achieved re
d_20411,chronic lymphoid leukemia remission
d_20412,chronic lymphoid leukemia relapse
d_20500,acute myeloid leukemia mention having achieved remis
d_20501,acute myeloid leukemia remission
d_20502,acute myeloid leukemia relapse
d_20510,chronic myeloid leukemia mention having achieved rem
d_20511,chronic myeloid leukemia remission
d_20890,unspecified leukemia mention having achieved remissi
d_20972,secondary neuroendocrine tumor liver
d_2101,control epistaxis anterior nasal packing
d_2102,control epistaxis posterior anterior packing
d_2103,control epistaxis cauterization packing
d_2111,benign neoplasm stomach
d_2112,benign neoplasm duodenum jejunum ileum
d_2113,benign neoplasm colon
d_2114,benign neoplasm rectum anal canal
d_2115,benign neoplasm liver biliary passages
d_2126,benign neoplasm thymus
d_2127,benign neoplasm heart
d_2143,lipoma intra-abdominal organs
d_2148,lipoma specified sites
d_2165,benign neoplasm skin trunk except scrotum
d_2171,closed reduction nasal fracture
d_2181,suture laceration nose
d_2181,intramural leiomyoma uterus
d_2189,leiomyoma uterus unspecified
d_220,benign neoplasm ovary
d_2219,diagnostic procedures nasal sinuses
d_2230,benign neoplasm kidney except pelvis
d_2242,frontal sinusectomy
d_2251,benign neoplasm cranial nerves
d_2252,benign neoplasm cerebral meninges
d_2263,ethmoidectomy
d_2264,sphenoidectomy
d_2270,benign neoplasm adrenal gland
d_2271,benign neoplasm parathyroid gland
d_2273,benign neoplasm pituitary gland craniopharyngeal duct
d_22801,hemangioma skin subcutaneous tissue
d_22802,hemangioma intracranial structures
d_22804,hemangioma intra-abdominal structures
d_22809,hemangioma sites
d_2309,extraction tooth
d_2319,surgical extraction tooth
d_2352,neoplasm uncertain behavior stomach intestines rectu
d_2357,neoplasm uncertain behavior trachea bronchus lung
d_2375,neoplasm uncertain behavior brain spinal cord
d_23770,neurofibromatosis unspecified
d_23771,neurofibromatosis type von recklinghausens disease
d_2381,neoplasm uncertain behavior connective soft tiss
d_2384,polycythemia vera
d_23871,essential thrombocythemia
d_23875,myelodysplastic syndrome unspecified
d_23879,lymphatic hematopoietic tissues
d_2390,neoplasm unspecified nature digestive system
d_2391,neoplasm unspecified nature respiratory system
d_2395,neoplasm unspecified nature genitourinary organs
d_2396,neoplasm unspecified nature brain
d_2397,neoplasm unspecified nature endocrine glands par
d_2409,goiter unspecified
d_2410,nontoxic uninodular goiter
d_2411,nontoxic multinodular goiter
d_24200,toxic diffuse goiter mention thyrotoxic crisis sto
d_24220,toxic multinodular goiter mention thyrotoxic crisis
d_24280,thyrotoxicosis specified origin mention thyr
d_24290,thyrotoxicosis mention goiter cause wit
d_24291,thyrotoxicosis mention goiter cause me
d_243,congenital hypothyroidism
d_2440,postsurgical hypothyroidism
d_2441,postablative hypothyroidism
d_2442,iodine hypothyroidism
d_2443,iatrogenic hypothyroidism
d_2448,specified acquired hypothyroidism
d_2449,unspecified acquired hypothyroidism
d_245,alveoloplasty
d_24900,secondary diabetes mellitus mention complication
d_25002,diabetes mellitus mention complication type ii
d_25003,diabetes mellitus mention complication type i juven
d_25010,diabetes ketoacidosis type ii unspecified type sta
d_25011,diabetes ketoacidosis type i juvenile type stated
d_25012,diabetes ketoacidosis type ii unspecified type uncontr
d_25013,diabetes ketoacidosis type i juvenile type uncontrolled
d_25020,diabetes hyperosmolarity type ii unspecified type
d_25022,diabetes hyperosmolarity type ii unspecified type unco
d_25033,diabetes coma type i juvenile type uncontrolled
d_25041,diabetes renal manifestations type i juvenile type
d_25042,diabetes renal manifestations type ii unspecified type
d_25043,diabetes renal manifestations type i juvenile type unco
d_25052,diabetes ophthalmic manifestations type ii unspecified
d_25053,diabetes ophthalmic manifestations type i juvenile type
d_25062,diabetes neurological manifestations type ii unspecifie
d_25063,diabetes neurological manifestations type i juvenile type
d_25072,diabetes peripheral circulatory disorders type ii unspe
d_25073,diabetes peripheral circulatory disorders type i juvenile
d_25082,diabetes specified manifestations type ii unspeci
d_25083,diabetes specified manifestations type i juvenile
d_25090,diabetes unspecified complication type ii unspecified
d_25093,diabetes unspecified complication type i juvenile type
d_251,excision destruction lesion tissue tongue
d_2511,specified hypoglycemia
d_2512,hypoglycemia unspecified
d_2513,postsurgical hypoinsulinemia
d_2515,abnormality secretion gastrin
d_2518,specified disorders pancreatic internal secretion
d_25200,hyperparathyroidism unspecified
d_25201,primary hyperparathyroidism
d_25202,secondary hyperparathyroidism non-renal
d_25208,hyperparathyroidism
d_2521,hypoparathyroidism
d_2530,acromegaly gigantism
d_2532,panhypopituitarism
d_2535,diabetes insipidus
d_2536,disorders neurohypophysis
d_2537,iatrogenic pituitary disorders
d_2538,disorders pituitary syndromes dienceph
d_2550,cushings syndrome
d_25541,glucocorticoid deficiency
d_2555,adrenal hypofunction
d_2558,specified disorders adrenal glands
d_2559,unspecified disorder adrenal glands
d_2564,polycystic ovaries
d_2572,testicular hypofunction
d_2594,dwarfism elsewhere
d_260,kwashiorkor
d_261,nutritional marasmus
d_262,severe protein-calorie malnutrition
d_2630,malnutrition moderate degree
d_2631,malnutrition mild degree
d_2638,protein-calorie malnutrition
d_2639,unspecified protein-calorie malnutrition
d_2651,unspecified manifestations thiamine deficiency
d_2662,b-complex deficiencies
d_2682,osteomalacia unspecified
d_2689,unspecified vitamin deficiency
d_2690,deficiency vitamin
d_2698,nutritional deficiency
d_2699,unspecified nutritional deficiency
d_2704,disturbances sulphur-bearing amino-acid metabolism
d_2710,glycogenosis
d_2713,intestinal disaccharidase deficiencies disaccharide malabsor
d_2720,pure hypercholesterolemia
d_2721,pure hyperglyceridemia
d_2724,unspecified hyperlipidemia
d_2726,lipodystrophy
d_2728,disorders lipoid metabolism
d_2731,monoclonal paraproteinemia
d_2732,paraproteinemias
d_2733,macroglobulinemia
d_2738,disorders plasma protein metabolism
d_2739,unspecified disorder plasma protein metabolism
d_27400,gouty arthropathy unspecified
d_27401,acute gouty arthropathy
d_27403,chronic gouty arthropathy tophus tophi
d_27482,gouty tophi sites except ear
d_2749,excision mouth
d_2749,gout unspecified
d_27501,hereditary hemochromatosis
d_27503,hemochromatosis
d_2752,disorders magnesium metabolism
d_2753,disorders phosphorus metabolism
d_27541,hypocalcemia
d_27542,hypercalcemia
d_27549,disorders calcium metabolism
d_2755,hungry bone syndrome
d_2757,attachment pedicle flap graft lip mouth
d_2760,hyperosmolality andor hypernatremia
d_2761,hyposmolality andor hyponatremia
d_2762,acidosis
d_2763,alkalosis
d_2764,mixed acid-base balance disorder
d_27650,volume depletion unspecified
d_27651,dehydration
d_27652,hypovolemia
d_27661,transfusion associated circulatory overload
d_27669,fluid overload
d_2767,hyperpotassemia
d_2768,hypopotassemia
d_2769,electrolyte fluid disorders elsewhere
d_27730,amyloidosis unspecified
d_27739,amyloidosis
d_2774,disorders bilirubin excretion
d_2777,dysmetabolic syndrome x
d_27787,disorders mitochondrial metabolism
d_27788,tumor lysis syndrome
d_27800,obesity unspecified
d_27801,morbid obesity
d_27803,obesity hypoventilation syndrome
d_2781,localized adiposity
d_2788,hyperalimentation
d_27900,hypogammaglobulinemia unspecified
d_27901,selective iga immunodeficiency
d_27903,selective immunoglobulin deficiencies
d_27906,common variable immunodeficiency
d_27950,graft-versus-host disease unspecified
d_27951,acute graft-versus-host disease
d_27952,chronic graft-versus-host disease
d_27953,acute chronic graft-versus-host disease
d_2798,specified disorders involving immune mechanism
d_280,incision drainage tonsil peritonsillar structures
d_2800,iron deficiency anemia secondary blood loss chronic
d_2808,specified iron deficiency anemias
d_2809,iron deficiency anemia unspecified
d_2810,pernicious anemia
d_2811,vitamin deficiency anemia
d_2812,folate-deficiency anemia
d_2819,unspecified deficiency anemia
d_2822,anemias due disorders glutathione metabolism
d_28240,thalassemia unspecified
d_28246,thalassemia minor
d_28249,thalassemia
d_2825,sickle-cell trait
d_28260,sickle-cell disease unspecified
d_28262,hb-ss disease crisis
d_2830,autoimmune hemolytic anemias
d_28311,hemolytic-uremic syndrome
d_28319,non-autoimmune hemolytic anemias
d_2839,acquired hemolytic anemia unspecified
d_28411,antineoplastic chemotherapy induced pancytopenia
d_28412,drug-induced pancytopenia
d_28419,pancytopenia
d_28489,specified aplastic anemias
d_2851,acute posthemorrhagic anemia
d_28521,anemia chronic kidney disease
d_28522,anemia neoplastic disease
d_28529,anemia chronic disease
d_2853,antineoplastic chemotherapy induced anemia
d_2858,specified anemias
d_2859,anemia unspecified
d_2860,congenital factor viii disorder
d_2861,congenital factor ix disorder
d_2862,congenital factor xi deficiency
d_2863,congenital deficiency clotting factors
d_2864,von willebrands disease
d_2866,defibrination syndrome
d_2867,acquired coagulation factor deficiency
d_2869,unspecified coagulation defects
d_28731,immune thrombocytopenic purpura
d_28749,secondary thrombocytopenia
d_2875,thrombocytopenia unspecified
d_2879,unspecified hemorrhagic conditions
d_28800,neutropenia unspecified
d_28803,drug induced neutropenia
d_28804,neutropenia due infection
d_28809,neutropenia
d_2883,eosinophilia
d_2884,hemophagocytic syndromes
d_28850,leukocytopenia unspecified
d_28860,leukocytosis unspecified
d_28866,bandemia
d_2888,specified disease white blood cells
d_2890,polycythemia secondary
d_2894,hypersplenism
d_28951,chronic congestive splenomegaly
d_28959,diseases spleen
d_28981,primary hypercoagulable state
d_28982,secondary hypercoagulable state
d_28983,myelofibrosis
d_28984,heparin-induced thrombocytopenia hit
d_28989,specified diseases blood blood-forming organs
d_2899,unspecified diseases blood blood-forming organs
d_2900,senile dementia uncomplicated
d_2903,senile dementia delirium
d_29040,vascular dementia uncomplicated
d_29041,vascular dementia delirium
d_2910,alcohol withdrawal delirium
d_2911,alcohol-induced persisting amnestic disorder
d_2911,pharyngoscopy
d_2912,pharyngeal biopsy
d_2912,alcohol-induced persisting dementia
d_2913,alcohol-induced psychotic disorder hallucinations
d_29181,alcohol withdrawal
d_2920,drug withdrawal
d_29212,drug-induced psychotic disorder hallucinations
d_29281,drug-induced delirium
d_29284,drug-induced mood disorder
d_2929,unspecified drug-induced mental disorder
d_2930,delirium due conditions elsewhere
d_2939,unspecified transient mental disorder conditions
d_2940,amnestic disorder conditions elsewhere
d_29410,dementia conditions elsewhere behavioral
d_29411,dementia conditions elsewhere behavioral dist
d_29420,dementia unspecified behavioral disturbance
d_2948,persistent mental disorders due conditions
d_2949,unspecified persistent mental disorders due conditions classi
d_29530,paranoid type schizophrenia unspecified
d_29532,paranoid type schizophrenia chronic
d_29560,schizophrenic disorders residual type unspecified
d_29562,schizophrenic disorders residual type chronic
d_29570,schizoaffective disorder unspecified
d_29572,schizoaffective disorder chronic
d_29590,unspecified schizophrenia unspecified
d_29620,major depressive affective disorder single episode unspecified
d_29623,major depressive affective disorder single episode severe wit
d_29624,major depressive affective disorder single episode severe spe
d_29630,major depressive affective disorder recurrent episode unspecif
d_29632,major depressive affective disorder recurrent episode moderate
d_29634,major depressive affective disorder recurrent episode severe
d_29640,bipolar i disorder most recent episode current manic unsp
d_29650,bipolar i disorder most recent episode current depressed
d_2967,bipolar i disorder most recent episode current unspecified
d_29680,bipolar disorder unspecified
d_29689,bipolar disorders
d_29690,unspecified episodic mood disorder
d_2971,delusional disorder
d_2989,unspecified psychosis
d_29900,autistic disorder current active state
d_30000,anxiety state unspecified
d_30001,panic disorder agoraphobia
d_30002,generalized anxiety disorder
d_30011,conversion disorder
d_30014,dissociative identity disorder
d_30022,agoraphobia mention panic attacks
d_30029,isolated specific phobias
d_3003,obsessive-compulsive disorders
d_3004,dysthymic disorder
d_3009,excision destruction lesion tissue larynx
d_3009,unspecified nonpsychotic mental disorder
d_30120,schizoid personality disorder unspecified
d_30122,schizotypal personality disorder
d_3014,obsessive-compulsive personality disorder
d_3017,antisocial personality disorder
d_30181,narcissistic personality disorder
d_30183,borderline personality disorder
d_3019,unspecified personality disorder
d_30250,trans-sexualism unspecified sexual history
d_303,complete laryngectomy
d_30300,acute alcoholic intoxication alcoholism unspecified
d_30301,acute alcoholic intoxication alcoholism continuous
d_30390,unspecified alcohol dependence unspecified
d_30391,unspecified alcohol dependence continuous
d_30392,unspecified alcohol dependence episodic
d_30393,unspecified alcohol dependence remission
d_30400,opioid type dependence unspecified
d_30401,opioid type dependence continuous
d_30403,opioid type dependence remission
d_30410,sedative hypnotic anxiolytic dependence unspecified
d_30411,sedative hypnotic anxiolytic dependence continuous
d_30420,cocaine dependence unspecified
d_30421,cocaine dependence continuous
d_30431,cannabis dependence continuous
d_30461,specified drug dependence continuous
d_30473,combinations opioid type drug drug dependence
d_30500,alcohol abuse unspecified
d_30501,alcohol abuse continuous
d_30503,alcohol abuse remission
d_3051,tobacco use disorder
d_30520,cannabis abuse unspecified
d_30521,cannabis abuse continuous
d_30523,cannabis abuse remission
d_30540,sedative hypnotic anxiolytic abuse unspecified
d_30550,opioid abuse unspecified
d_30551,opioid abuse continuous
d_30552,opioid abuse episodic
d_30553,opioid abuse remission
d_30560,cocaine abuse unspecified
d_30561,cocaine abuse continuous
d_30562,cocaine abuse episodic
d_30563,cocaine abuse remission
d_30570,amphetamine related acting sympathomimetic abuse unspecified
d_30590,mixed unspecified drug abuse unspecified
d_30593,mixed unspecified drug abuse remission
d_3071,anorexia nervosa
d_30750,eating disorder unspecified
d_3079,unspecified special symptoms syndromes elsewhe
d_3080,predominant disturbance emotions
d_3090,adjustment disorder depressed mood
d_30924,adjustment disorder anxiety
d_30928,adjustment disorder mixed anxiety depressed mood
d_3094,adjustment disorder mixed disturbance emotions condu
d_30981,posttraumatic stress disorder
d_3099,unspecified adjustment reaction
d_3102,postconcussion syndrome
d_3109,unspecified nonpsychotic mental disorder following organic brain
d_311,depressive disorder elsewhere
d_311,temporary tracheostomy
d_3129,unspecified disturbance conduct
d_3129,permanent tracheostomy
d_31400,attention deficit disorder mention hyperactivity
d_31401,attention deficit disorder hyperactivity
d_3141,tracheoscopy through artificial stoma
d_3142,laryngoscopy tracheoscopy
d_3143,closed endoscopic biopsy larynx
d_3144,closed endoscopic biopsy trachea
d_315,local excision destruction lesion tissue trachea
d_3164,repair laryngeal fracture
d_317,mild intellectual disabilities
d_3174,revision tracheostomy
d_3179,repair plastic operations trachea
d_3181,severe intellectual disabilities
d_319,unspecified intellectual disabilities
d_3199,operations trachea
d_3201,pneumococcal meningitis
d_3201,endoscopic excision destruction lesion tissue bronch
d_3203,staphylococcal meningitis
d_32082,meningitis due gram-negative bacteria elsewhere classifi
d_3209,meningitis due unspecified bacterium
d_3220,thoracoscopic excision lesion tissue lung
d_3228,endoscopic excision destruction lesion tissue lung
d_3229,meningitis unspecified
d_3229,local excision destruction lesion tissue lung
d_32381,causes encephalitis encephalomyelitis
d_32382,causes myelitis
d_3239,unspecified segmental resection lung
d_3239,unspecified causes encephalitis myelitis encephalomyeli
d_3240,intracranial abscess
d_3241,intraspinal abscess
d_3241,thoracoscopic lobectomy lung
d_3249,lobectomy lung
d_325,phlebitis thrombophlebitis intracranial venous sinuses
d_3259,unspecified pneumonectomy
d_326,late effects intracranial abscess pyogenic infection
d_32721,primary central sleep apnea
d_32723,obstructive sleep apnea adultpediatric
d_32726,sleep related hypoventilationhypoxemia conditions classifiab
d_32727,central sleep apnea conditions elsewhere
d_3310,alzheimers disease
d_33119,frontotemporal dementia
d_3313,communicating hydrocephalus
d_3314,obstructive hydrocephalus
d_3315,idiopathic normal pressure hydrocephalus inph
d_33182,dementia lewy bodies
d_33183,mild cognitive impairment so stated
d_3319,cerebral degeneration unspecified
d_3320,thoracoscopic lung biopsy
d_3320,paralysis agitans
d_3321,bronchoscopy through artificial stoma
d_3322,fiber-optic bronchoscopy
d_3323,bronchoscopy
d_3324,closed endoscopic biopsy bronchus
d_3326,closed percutaneous needle biopsy lung
